date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_14,PIT,Sidney Crosby,14.633333333333,0,2,2,1,0.12,3.7,0.0,1.0,1.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.0,20.8,10.1,0.0,18.383333333333002,30.9,100.85222121487034
20_02_14,NYR,Chris Kreider,14.533333333333,1,1,2,0,0.15,4.6333333333333,0.0,0.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1.6,0.0,19.1666666666663,24.8,77.63478260869715
20_02_14,PIT,Jason Zucker,14.65,2,0,2,0,0.31,2.3,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,16.95,27.2,96.28318584070796
20_02_14,CAR,Nino Niederreiter,13.283333333333,1,1,2,0,0.12,1.6833333333333,0.0,0.0,0.0,0.0,0.0,0.066666666666667,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,15.033333333332966,23.2,92.59423503326168
20_02_14,CAR,Brett Pesce,19.583333333333,0,2,3,0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666667,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,22.2499999999997,20.8,56.08988764045019
20_02_14,CAR,Martin Necas,12.35,1,1,2,0,0.15,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,13.85,23.2,100.50541516245488
20_02_14,S.J,Brent Burns,21.716666666667,0,1,4,1,0.28,3.9,0.0,0.0,2.0,0.0,0.11,2.85,0.0,0.0,0.0,0.0,0.0,16.0,3.2,0.0,28.466666666667,19.2,40.46838407494098
20_02_14,WPG,Blake Wheeler,15.416666666667,1,0,2,0,0.28,3.9833333333333,0.0,1.0,2.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,15.2,11.7,0.0,19.4000000000003,26.9,83.1958762886585
20_02_14,N.J,Travis Zajac,13.883333333333,0,1,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0666666666667,0.0,0.0,0.0,0.0,0.1,8.0,0.0,0.0,15.9499999999997,8.0,30.094043887147897
20_02_14,CAR,Jordan Staal,12.733333333333,0,1,2,0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.09,11.2,0.0,1.6,14.033333333333001,12.799999999999999,54.72684085510818
20_02_14,CBJ,Gustav Nyquist,18.133333333333,0,1,2,0,0.16,1.5166666666667,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,21.3499999999997,11.2,31.475409836066014
20_02_14,S.J,Marcus Sorensen,8.3333333333333,1,0,2,0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,1.0,0.0,0.1,15.2,0.0,1.6,11.3833333333333,16.8,88.55051244509542
20_02_14,CAR,Joel Edmundson,13.5,1,0,3,1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,2.2166666666667,0.0,0.0,0.0,0.0,0.0,18.400000000000002,0.0,0.0,15.7166666666667,18.400000000000002,70.24390243902425
