date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_20,TOR,Jake Muzzin,21.016666666667,1,2,2,4,0.04,0.2,0.0,0.0,0.0,0.0,0.0,1.8166666666667,0.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,23.033333333333697,37.6,97.94500723588847
20_02_20,CBJ,Nick Foligno,18.95,1,1,2,2,0.15,3.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,22.2833333333333,26.4,71.08451757666428
20_02_20,WSH,Nicklas Backstrom,17.15,0,2,2,0,0.18,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,18.4,19.2,62.608695652173914
20_02_20,VGK,Alec Martinez,17.3,1,1,1,4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,2.8666666666667,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,20.1666666666667,28.0,83.30578512396681
20_02_20,MTL,Ben Chiarot,26.833333333333,2,0,4,3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,28.083333333333,35.2,75.2047477744816
20_02_20,PHI,Kevin Hayes,16.4,1,1,2,1,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,18.099999999999998,24.8,82.20994475138123
20_02_20,FLA,Jonathan Huberdeau,13.816666666667,0,2,1,0,0.12,5.5166666666667,1.0,1.0,1.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,17.6,22.6,0.0,19.3333333333337,40.2,124.75862068965282
20_02_20,CBJ,Oliver Bjorkstrand,18.116666666667,1,1,3,0,0.43,3.6166666666667,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,24.8,1.6,0.0,21.7333333333337,26.400000000000002,72.88343558282087
20_02_20,FLA,Aleksander Barkov,13.016666666667,2,0,6,0,0.41,5.5166666666667,0.0,0.0,0.0,0.0,0.0,4.0333333333333,0.0,0.0,0.0,0.0,0.06,33.6,0.0,0.0,22.566666666667,33.6,89.33530280649794
20_02_20,PHI,Travis Konecny,15.916666666667,1,1,4,1,0.33,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.5,0.0,16.066666666667,36.5,136.30705394190588
