date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
20_02_15,CHI,Jonathan Toews,C,11.333333333333,1.0,2.0,2.0,0.0,0.07,4.0833333333333,0.0,0.0,0.0,0.0,0.14,3.0666666666667,0.0,0.0,1.0,1.0,0.01,31.2,0.0,3.2,18.483333333333,34.4,111.66816952209399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CHI,Patrick Kane,R,12.35,1.0,2.0,2.0,0.0,0.05,4.1166666666667,0.0,0.0,0.0,0.0,0.0,0.88333333333333,0.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,17.35000000000003,31.2,107.8962536023053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,L.A,Tyler Toffoli,R,18.133333333333,3.0,0.0,5.0,3.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.28333333333333,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,18.41666666666633,48.8,158.98642533936942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,EDM,Kailer Yamamoto,R,17.783333333333,1.0,2.0,4.0,0.0,0.72,1.4666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0.0,0.0,19.2499999999997,34.4,107.22077922078088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,L.A,Anze Kopitar,C,19.7,0.0,2.0,0.0,0.0,0.09,0.083333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,19.883333333333333,16.0,48.28164291701593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,NSH,Kyle Turris,C,11.066666666667,1.0,1.0,3.0,0.0,0.16,3.9,0.0,1.0,1.0,0.0,0.03,0.63333333333333,0.0,0.0,0.0,0.0,0.0,24.8,10.1,0.0,15.60000000000033,34.9,134.23076923076638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,T.B,Steven Stamkos,C,12.216666666667,0.0,2.0,0.0,1.0,0.0,5.15,0.0,0.0,2.0,0.0,0.14,1.2333333333333,0.0,0.0,0.0,0.0,0.0,17.6,3.2,0.0,18.6000000000003,20.8,67.0967741935473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,T.B,Victor Hedman,D,20.5,0.0,2.0,0.0,2.0,0.0,5.3,0.0,0.0,1.0,0.0,0.09,6.4,0.0,0.0,0.0,0.0,0.0,19.2,1.6,0.0,32.2,20.8,38.75776397515528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,NSH,Matt Duchene,C,11.416666666667,1.0,1.0,1.0,0.0,0.1,2.3833333333333,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,21.6,1.6,0.0,13.8000000000003,23.200000000000003,100.86956521738912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,T.B,Nikita Kucherov,R,12.933333333333,1.0,1.0,1.0,0.0,0.98,5.85,0.0,0.0,2.0,0.0,0.23,0.4,0.0,0.0,0.0,0.0,0.0,21.6,3.2,0.0,19.183333333332996,24.8,77.56733275412822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,EDM,Ryan Nugent-Hopkins,C,19.533333333333,0.0,2.0,3.0,1.0,0.34,2.0,0.0,0.0,0.0,0.0,0.04,2.9666666666667,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,24.4999999999997,22.400000000000002,54.85714285714353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CHI,Dominik Kubalik,L,10.7,1.0,1.0,1.0,0.0,0.15,3.5833333333333,0.0,0.0,0.0,0.0,0.0,0.48333333333333,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,14.76666666666663,21.6,87.76523702031625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,EDM,Leon Draisaitl,C,18.933333333333,1.0,1.0,3.0,0.0,0.29,2.0,0.0,0.0,1.0,0.0,0.15,2.65,0.0,0.0,1.0,0.0,0.05,24.8,1.6,1.6,23.583333333332998,28.000000000000004,71.2367491166088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CGY,Sam Bennett,C,13.616666666667,2.0,0.0,3.0,0.0,0.27,1.2166666666667,0.0,0.0,0.0,0.0,0.0,0.28333333333333,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,15.11666666666703,28.8,114.31091510473816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CGY,Oliver Kylington,D,12.833333333333,0.0,2.0,1.0,1.0,0.06,0.55,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,19.200000000000003,0.0,0.0,13.533333333333001,19.200000000000003,85.12315270936172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,TOR,Auston Matthews,C,16.533333333333,1.0,1.0,2.0,2.0,0.15,1.8333333333333,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,26.4,3.2,0.0,18.3666666666663,29.599999999999998,96.69691470054639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,BOS,Charlie McAvoy,D,17.316666666667,1.0,1.0,3.0,0.0,0.17,1.7666666666667,0.0,0.0,1.0,0.0,0.03,1.4,0.0,0.0,0.0,1.0,0.0,24.8,1.6,1.6,20.4833333333337,28.000000000000004,82.01790073230123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CGY,Dillon Dube,C,11.2,0.0,2.0,3.0,1.0,0.21,2.95,0.0,0.0,0.0,0.0,0.0,0.78333333333333,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,14.933333333333328,22.400000000000002,90.00000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CHI,Alex Nylander,L,10.133333333333,2.0,0.0,4.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,10.133333333333,30.4,180.00000000000588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,L.A,Alex Iafallo,L,18.3,0.0,2.0,2.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.16666666666667,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,18.516666666666673,19.2,62.21422142214219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,CHI,Kirby Dach,C,12.016666666667,1.0,1.0,2.0,0.0,0.29,1.3666666666667,0.0,0.0,0.0,0.0,0.0,1.0166666666667,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,14.400000000000398,23.2,96.66666666666399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_02_15,NSH,Dan Hamhuis,D,11.166666666667,0.0,1.0,2.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0166666666667,0.0,0.0,0.0,0.0,0.0,12.799999999999999,0.0,0.0,16.1833333333337,12.799999999999999,47.45623069000922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
